hs_class,text
negative,telur burung onta dan tadi menonton orang makan itu gede banget gila 
positive,waspada di semua lini sudah banyak penyusup kader pak ai komunis indonesia dan antek cina komunis
negative,kamu itu sama kayak teman kamu sih johny kadut yang suka mengambil gambar buat nyinyir tanpa tau itu dari mana dan kenapa cebong kebiasaan kunyah hoaks 
positive,kalau stigma pak ai komunis indonesia komunis kafir munafik dan babi boleh dilanjutkan ya bapak dewan perwakilan rakyat bahkan boleh itu teriak gantung bunuh dan usir warga negara indonesia etnis cina
positive,omongan mu rusak dasar kontol 
negative,astagfirullah ingat elok lah itu tuduh orang kafir 
positive,yang kuat makan isu sara justru gerindra yang tidak sanggup menerima kenyataan wajar kalau isu sara hilang karena gerindra lah pencipta sekaligus pemamah isu sara politik bejat 
negative,kamu tidak bakal tau juga susah actress cina namanya mingmukedaisi kurban bingung kan kamu wkwk 
positive,pak ai demokrasi indonesia p komunis 
negative,betul sekali adem lihatnya apa lagi gubernur dan wakil gubernurnya kerjanya nyata dan dihargai negara lain
negative,jauhi manuver yang membuat kita terpecah 
negative,kadang teringin nak jadi chani tengok cara tai layan dia jelus wuu 
negative,masya allah bupati ini ikut orasi dalam demo sukmawati rela dipecat dari jabatannya saya siap dipecat karena membela agama islam apabila agama islam dilecehkan kata bupati labuhan batu dihadapan ribuan umat islam yang menggelar aksi bela islam 6 4 
positive,ya jelas lah om mereka cuma gede cocot doang nya begitulah kualitas mereka 
positive,sudah dungu belaga sok pintar tetapi tetap saja dungu nya kelihatan wkwk 
positive,bubarkan panitia khusus bubarkan dewan perwakilan rakyat
negative,sama sepe i isu anti islam dan antek asing yang ditujukan oleh siapa ya ke pak jokowi dong ya min 
negative,al fatihah amin
negative,segenap warga keluarga pocanan tolak berita hoaks dan sukseskan pilihan kepala daerah damai di wilayah kota kediri 
negative,sumpah goblok banget alamatnya belum gue ganti kampang 
negative,makanya ada gereja kristen jawa gereja kristen maluku dan lain lain dalam keberagaman ajarannya tetap satu yesus sebagai juru selamat lainnya cuma gimmick saja malah seru kalau lagi ada pekan budaya di gereja gereja dan kita nyanyi lagu ibadah dalam berbagai baha
positive,kita lawan pak ai keadilan sejahtera konsisten melawan investasi cina meskipun grup lippo donatur anies sandi yang buat meika a pak ai keadilan sejahtera tetap
positive,saran yang tidak sama bodoh dan tolol 
negative,kafir itu pengucapan internal umat muslim kepada non muslim dan domba domba tersesat adalah pengucapan internal umat kristen kepada non kristen jadi sama sama radikal 
positive,betul beban hidup meningkat dirasakan oleh bani sumbu pendek yang biasa teriak teriak kopar kafir mereka kekurangan job demo karena sudah tidak laku 
negative,pemerintah israel adalah golongan yahudi radikal berbeda dengan rakyatnya sebagian menginginkan perdamaian 
positive,bapaknya prabowo itu sebagai penggagas supaya indonesia berhutang iya soemitro
negative,karena cinta hasil menikung adalah terkutuk 
positive,karena yang suka teriak saya pancasila saya indonesia kebanyakan adalah komunis cina dan antek anteknya
negative,kitab suci bukan hanya islam yang punya tetapi semua umat beragama kamu punya agama tidak 
negative,biarlah pak gubernur daerah khusus ibu kota itu selesaikan dulu tugasnya supaya full menampak hasil kerja krs beliau salam 5 tahun 5 tahun tidak lama sabar selesaikan dulu jabatan yang sudah di amanahkan oleh rakyat dengan susah payah pak anies masih muda jalan masih penjaga insya
positive,ulama purwaka a sebut bupati dedi mulyadi raja syirik
negative,insya allah ganjar pranowo dengan rida allah subhanahu wa taala amp warga jawa tengah prediksi ganjar tetap gubernur jawa tengah 
negative,bangkitkan ekonomi umat fiksi atau realita faktanya pe umbuhan ekonomi nusa tenggara barat ntb minus 4 18 amanah amp kewenangan sebagai gubernur tidak dimanfaatkan merevolusi daerahnya dari ketergantungan eksploitasi sda 
positive,open bo surabaya masih online saja kamu sempak akun tipu tipu bangsat bajingan kamu 
negative,khofifah merupakan menteri berprestasi kabinet kerja presiden jokowi bagus barisan gus sholatu
negative,tidak jelas bari jadi gubernur sudah semaunya bagaimana jadi presiden
negative,setarbak yahudi dol kena boikot 
negative,tidak dicintaimu adalah sesuatu yang baru yang membuatku merasa asing diantara segala hati yang membuka pintunya padaku 
negative,kedatangan pasangan hasanah ini untuk meminta doa restu untuk berlaga pada kontestasi pemilihan gubernur jabar 2018 
negative,tapi jangan risau server yang pak ai komunis indonesia solid state drive 24 7 heavy penggunaan pun ada around more tahan a tahun sebelum solid state drive itu worn out itu jangka masa dia lah dan no h sumatra offshore kalau laptop biasa aku jangkauan lebih dari dua tahun korang boleh pakai itu pun kalau tak ada pape tindakan bo
positive,idiot tidak punya kompetensi bicara tentang kanker uniform resource locator
negative,beliau warga katolik di sana mas kirim nomornya ya 
positive,pak penjelasan berikut untuk mendorong anda mau mengklarifikasi kebenaran 25 nabi islam
negative,syiah dimusuhi yahudi didekati politik 
negative,bagaimana perasaan ibu yang kedua anaknya meninggal karena bom 
positive,insya allah tidak te ipu sama tampang tidak kayak jokowi
negative,berengsek lagunya mantaaapppp uniform resource locator
negative,sifat budaya 1 universal 2 stabil amp dinamis 3 berubah ubah 4 membantu manusia dalam memenuhi kebutuhan 5 diperoleh melalui proses belajar
negative,ridwan kamil kembangkan satu pesantren satu perusahaan rindu jawa barat juara 1 rindu jawa barat juara jawa barat juara rindu jawa barat juara nomor 1 pilihan gubernur jawa barat 2018 ridwan kamil 
negative,mulai deh buzzer asing plus akun pengkhianat bangsa bergerak ingin menciptakan situasi tidak kondusif tentunya aparat yang berwenang memantau gerakan akun akun tersebut 
negative,beda paham impor garam menteri perdagangan eka mau impor amp menteri kelautan fadel tidak mau impor kementerian perekonomian ekonomi survei ke jawa timur jawa tengah jabar tim dari es ih dir impor kementerian perdagangan kementerian kelautan kementerian industri amp saya ketua tim sama data sekretariat dewan pe imbangan presiden hasilnya 
positive,apa babi 
negative,memang kunti bau menyan ya 
negative,arema fc menyadari beratnya tekanan bermain di kandang persebaya surabaya oleh karena itu singa edan benar benar mempersiapkan mental para pemainnya 
positive,aku kira park woojin anaknya kalem kalem keren begitu taunya kayak tai 
negative,mana mau main di cina hehe 
positive,saya tetap ingin 2019 ganti presiden balikan ke solo
negative,pe emuan presiden jokowi dan ulama jawa barat 
negative,be anya saja ke 
negative,ngeri sudah sekaligus salut sama anak muda yang bahasanya soal akhirat mulu kamu yakin tidak bakal menyesal buat rasakan bagaimana serunya jadi youth berengsek bodoh dan tolol 
negative,wah edan itu foto shoot 
positive,iya benar menyuap makanan saja di memvideo congor kamu kemana mana bangsat jijik dan mending kalau makanannya doang bisa bikin lapar lah mulutnya yang di memvideo ngewe 
negative,gubernur rasa presiden anies presiden 2019
negative,kata dalam pendapat bisa macam macam a inya ulama a tafsirnya ini ulama b tafsirnya itu makanya gue be anya ke banyak orang yang gue anggap paham guru mengaji teman gue juga gue tanyakan cuma karena ada banyak tafsir jangan ambil yang enaknya saja iya in
positive,dan siapapun yang pro pemerintah langsung dicap kafir komunis dan pro asing dan melek matanya rien 
negative,wkwk anjing memang jancuk 
negative,dalam praktik pannage peternak memberikan satu atau dua ekor babi sebagai bayaran untuk tuan tanah did kamu know 
positive,siap siap antek asing asing komunis kapitalis liberalis ateis wahyudi
negative,dulu kita selalu mengucap kata sayang di penghujung malam kini tak lebih dari dua orang asing yang terkadang diam diam merindukan masa lalu 
positive,sungguh cerdas dan brilian congor nih menteri 
positive,sebisa mungkin pembangunan pulau c dan di dilanjutkan djarot sebelum oktober nanti anies sandi kuasai balai kota 
negative,ingat teman gue ke taman mini indonesia indah dulu terus banyak yang teriak teriak kira dia ada penculikan pas di dekati banyak cowok ganteng tapi sipit sipit dan dan itu adalah n2pm wkwk 
positive,terus geblek nya lagi ternyata sih blekok banget ini masih punya bini belum cere akhirnya gue putuskan dong begitu tau ada istrinya dan terus beberapa waktu kemudian gue sudah jalan sama laki gue iseng gue posting titit laki gue dulu lah istrinya sih ble
negative,tum bahas ketimpangan ekonomi dong hehe
negative,aku juga mau kayak akun kontol ah yang merusuhi semua akun yang mentwit bokep atau kontol atau apa mau cari pakai keywords swafoto ah 
negative,mana ada anjir tidak lah 
negative,memangnya sinis setan apa eon he he 
negative,ketua dewan perwakilan rakyat budaya tak identik pe unjukan seni bicara politik
negative,budaya kamoro sukses pukau publik swiss
positive,ini yang banci uniform resource locator
positive,berakhirnya masa jabatan djarot menandai berakhirnya pemerintahan daerah khusus ibu kota yang bersih transparan profesional siap siap dibohongi anies sandi uniform resource locator
negative,pilih mana pemilihan presiden 2019
negative,tomohon juga merupakan pusat pembelajaran agama kristen dan katolik ada tempat khusus untuk berdoa dan meditasi yang disebut bukit kasih sebuah tempat suci yang indah dan tenang tomohon international flower festival dan nanti
positive,mulut jamban bani taplak bani serbet cebonger tai sumbu pendek intelligence quotient jongkok dan masih banyak lagi itu benar benar familier ditelinga dan lalu siapa sebenarnya yang memulai dan entahlah tapi kalau harus menghentikan istilah cebong dan kampret
positive,tidak ada aroma pak ai komunis indonesia malah penumpas pak ai komunis indonesia tidak ada terlibat langsung maupun tak korupsi cuma difitnah murahan oleh para penjilat pantat iblis 
negative,hyunjin anak tunggal i dan punya abang amp adik mereka berdua sama sama katolik sekolah di sopa hyunjin dance line i dan vokal line 
negative,to nama a few trade war as cina suku bunga as meningkat oleh the fed trump s ta eformasi plan instabilitas geopolitik investor asing banyak menarik dana lagi dari pasar saham indonesia 
positive,apa lagi pembelaan atas mega proyek ini pak alasannya untuk memperkuat ekonomi ekonomi siapa meika agate
positive,salah satu yang aku duga tetap akan dipakai menjegal jokowi jokowi membela ahok sih penista agama 
positive,karena cebong tidak akan mengakui pria lajang yang hanya lulusan sih sastra sebagai profesor karena untuk disebut profesor anak sampai pun tau harus melalui strata pendidikan lagi setelah sih itu jawab an kenapa cebong lebih cerdas dari bani kampret 
positive,1 usir duta besar myanmar 2 putus hubung diplomatik 3 unjuk rasa nasional 4 tarik nobel suu kyi 5 tuntut maaf umat buddha 6 utus pasukan penyelamat
negative,buaya mana au chris paul 
negative,suatu saat pak bisa jadi ri 1 insya allah 
negative,benyamin sueb dulu nyanyi ngedumel sekarang jadi musik rap 
positive,asal setia bayar pajak dan uang pajaknya tidak untuk bayar upah orang orang yang mau mengubah undang undang komisi pemberantasan korupsi
positive,bagaimana dengan etnis cina yang ada di indonesia imigran gelap juga kan 
negative,kiraan banci 
positive,apa tidak lebih baik pak susilo bambang yudhoyono mencalonkan presiden lagi ya mbah biar jokowi mundur saja lah
negative,calon kepala daerah terkena ott komisi pemelihan umum jawa timur yakin pilihan kepala daerah lancar 
negative,masyarakat sidomulyo kecamatan aek kuo kabupaten labura deklarasi anti hoaks amp pilihan kepala daerah 2 
positive,luar biasa jauh berbeda dengan terjadi bom prancis dari dua pe iwa tersebut bisa kita lihat reaksi rezim jokowi seolah memperlihatkan rezim anti islam
positive,dulu dipaksa menanam sama van den bosch di ambil hasilnya di jual sama belanda via voc lalu hasilnya pun di korup voc sayangnya sampai merdeka pin begitu hasil panen di salurkan lewat badan pemerintah amp juga di korup sama pejabat bangkai dan dan
positive,makin hancur ini negara karena jokowi wkwk uniform resource locator
negative,anjing dengan daun telinga tegak memiliki pendengaran yang lebih baik daripada anjing berdaun telinga jatuh
positive,namanya juga standar janda teriak teriak benci kafir asing tapi oshinya kafir asing semua 
negative,ngewe lewat mulu 
negative,hebatlah di rejim ini orang sudah pada kayak semua 
positive,kemacetan makin menggila karena pe umbuhan mobil motor 8 ari pe umbuhan jalan ganti presidenpun tak akan bisa kurangi kemacetan ini tapi dengan ganti presiden minimal bisa mengurangi kemacetan yang lain jadi tetap 2019 ganti presiden
negative,iya mas orang kristen kalau nyanyi jingle bel juga keren 
negative,itu pisang bule mana kok tidak macam pakai profil kontol mr mr bule ya aku mau kontol km sayang 
negative,kalau kata guru mengaji saya disuruh perbanyak baca alhamdulillah biar hidup jadi ayem kalau teman saya orang katolik dia banyak memuji muji tuhan 
negative,iori berapa kali foto merem melulu itu tidak sengaja merem gara gara pas mengedip atau memang sipit maksimal ya wkwk mohon maaf dek iori 
positive,walah jadi ini toh maksud anies sandi dengan uang muka 0 semua pendukungnya bisa menginap gratis di penjara oke oke saracen
negative,jangan pernah takut bapak presiden karena anda tidak berjalan sendirian di belakang mu ada mayoritas masyarakat indonesia yang terus mendukungmu bangsa ini bangsa berma abat dan dengan kejadian ini kita jadi tau bahwa yang selama ini teriak anti asing ternyata malah jadi ag
negative,ingin berbicara bangkai 
negative,jangan kasih kendor anda layak dapat bintang 
negative,haha iya wah silap silap bom pun aku tak dengau ececeh kamu memang kita sama sama ah nih brother susah bangun 
positive,iya kelasnya penista agama bisa nya cuma bacot doang yang arogan surat keputusan bilang tai nenek kamu oh ya sumber waras dan nama di kasus e kakak kamu tanda penduduk apa kabar sekakmat
negative,eh nurul kuliah dimana jurusan apa apa bahasa mandarin bera i kerja sama dong sama komunis wah masih bersaudara dong sama gerakan 30 september pak ai komunis indonesia 
positive,biar miskin tetapi tidak jadi antek asing dan asing
positive,babi kamu ini ya mungkin lahir dari bani babi kamu ini anjing lah kamu ini dan kamu berbicara menteri selangkangan tapi majikan kamu bini nya selingkuh 7 tahun itu yang cocok menteri selangkangan n7 tahun coy dan harus kamu tuduh begitu
positive,tapi kadang adik member yang babi main sedap tekak setiap hari nak dibelanja uniform resource locator
negative,tokoh perubahan adalah mereka yang telah memberikan kontribusi nyata berkelanjutan untuk memajukan suatu masyarakat dalam berbagai bidang sepe i ekonomi budaya kesehatan dan sebagainya 
positive,sepe inya kementerian penerangan butuh dibangkitkan lagi youtuber selebriti instagram bajingan sudah mulai overe sed 
positive,namanya juga rezim suka suka dan mereka yang buat peraturan mereka juga yang melanggar 
negative,pas di cari tidak menemukan tetapi bunyi mulu anjir 
negative,yang perlu dipe anyakan juga adalah sikap mardani as yang juga kader pak ai islam
negative,fadli zon potensi korupsi pilihan kepala daerah lewat dewan perwakilan rakyat daerah lebih kecil
negative,presiden amerika barack hussein obama mendesak putin untuk menarik mundur tentara rusia di ukraina 
negative,kita bangga dengan prestasi musa lah ode abu hanafi hafiz 7 tahun di musabaqah hifzil alquran internasional di mesir
negative,dari pantat sapi 
negative,boleh juga itu bantu sundul 
negative,takut jaman rezim suha o yang represif saja saya berani kok 
positive,bacot kamu diam 
negative,jadi ingat pernah menonton film piramida piramida begitu ramai ramai seram yang lain teriak gue sama teman gue te awa te awa sudah sinting 
negative,mau taawuz dulu biar dijauhkan dari godaan setan yang terkutuk 
negative,memek gatal ingin di ngentot pakai kontol keker 
negative,hai saya hampir mati dalam jamban ke ranah tergelincir hem 
positive,buah simalakama itu bernama asma dewi penyebar sara waktu kampanye anies sandi
negative,nalar yang sehat tidak mungkin berpikir buruk hingga sejauh itu puisi itu ditulis oleh seorang ulama yang mencintai islam seorang ulama yang merindukan islam tumbuh sebagai ajaran kasih sayang dan rahmat bagi seluruh masyarakat di negeri ini percaya
negative,bolot saja biar legenda 
negative,yang menyebabkan agama cacat adalah hawa nafsu maka kendalikanlah hawa nafsumu hari asyahaab 
negative,jokowi ajak ulama dinginkan suasana jelang pilihan kepala daerah 2019 jokowi lanjutkan jkfc23456789 join kalimatan selatan andre opa aktivitas jokowi kornas join join kalimatan selatan cepu supriyanto jokowi join ri join ri
positive,bajingan ya blok saja 
positive,apa sih tidak jelas kamu bangkai 
negative,wkwk suster adalah sister sekolah katolik 
positive,potret rezim jokowi anti pada umat islam bukan saja di indonesia yang dipimpin tetapi bahkan di negara lain seputar myanmar sekarang
negative,makanya kalau pakai kata kata bermuka dua itu kan kesannya tidak enak karena biasanya sebutan itu untuk menyebut orang munafik 
negative,data flow diagram apaan ya allah udik gue 
negative,sayang banget kalau tidak di bagikan cewek jilbab bro cantik ya padahal haha ngentot di toilet uniform resource locator
positive,ini kunyuk bukan ustad modal berewokan sama berbicara antam kalian doang 
negative,saya yakin alumni 212 tidak ada yang menghina ulama yang dihormati dan disegani oleh harus yang menghina diduga pihak yang mencoba memecah belah umat islam melalui kasus dugaan penistaan agama 
negative,saya kira bau busuk itu sudah puluhan tahun tercium aneh saja anda bau mengendusnya baru baru ini kenapa mungkin waktu geng rezim anda berkuasa baunya harum 
negative,dari kemunculan hukum hukum yang tidak mencerminkan kepentingan umum sepe i undang undang md3 yang tentunya mencederai supremasi hukum yang diharapkan ditambah lagi kasus orang hilang yang belum dituntaskan hingga tahun ini 
negative,pasti harga akan naik konsumsi turun tidak ideal lagi ekonomi tidak tumbuh aduh
negative,aduh gue baru sadar 501 pas praktik 5 jari buat huruf o dan kontol 
positive,masa tidak tau princess udik benar 
negative,dulu waktu kelulusan aku tidak pernah coret coret baju cupu ya 
negative,ada undang undang md3 pantas mereka buru buru sahkan undang undang dasar md 3 sebelum penggantian dapat 
positive,barryaje faktanya gubernur ahmad heryawan yang menyelesaikan sih mukidi nongol saat peresmian 2019 ganti presiden saja sudah
positive,tolong bubarkan acara pak ai komunis indonesia tersebut uniform resource locator
negative,mode pengalihan isu biar kayak rejim era milenial masih 27 juli tapi tiap hari sudah lihat trailernya 
negative,lagian di pulau komodo adalah kamu tidak bisa main di pantai yang ada ketemu komodo buaya lagi berenang 
negative,kalau di inggris dokter dokternya demo justru karena ingin menyelamatkan nhs mereka meminta kedatangan dokter dokter baru asing india tidak dipersulit 
negative,betul elok le itu yahudi cukup pekan haha 
negative,kyulkyung visualisasinya edan 
positive,tai kucing kamu ah pengecut 
negative,dalam pp baru itu pemerintah menegaskan ketentuan bahwa pemegang izin usaha pe ambangan izin usaha pe ambangan dan izin usaha pe ambangan khusus izin usaha pe ambangan khusus yang sahamnya dimiliki oleh asing untuk melakukan divestasi saham sampai 51 persen secara b
positive,biar rezim ini lakukan pencitraan terus setelah 2019 ganti presiden nanti langsung di proses saja masalah hukumnya karena ada indikasi kerugian negara 
negative,parah itu adalah kamu tidak akan menemukan saksi bukti pernyataan ilahmu bahwa dia adalah lah yang wajib disembah yang ada hanya narasi oleh orang yang sumbernya berasal dari riwayat spiritual yahudi alias copy paste lah 
positive,pemerintah provinsi adalah gelarnya dari hater komplit dicap kafir liberal komunis munafik dan lain lain kalau kuliah mesti berapa sks itu gelarnya banyak amat dan yang lucu dicap liberal dan komunis barengan otak mana otak x
negative,8 bulan tidak ketemu matematika di hi gue jadi goblok banget begitu 
positive,apik jelekku itu urusanku nek tidak suka sama aku ya sudah diam rasah nyangkem maaf nek aku masak picek masak budek sama orang 
positive,mereka yang membela cina keparat itu tak ubahnya anjing buduk saya ingin marah enyahkan para cina keparat di bumi negara kesatuan republik indonesia sumpah bagi para cina yang hidup di indonesia untuk setia tanah air bila mereka tak bersum
negative,harus tau ya memang saya juga asal gas haha aslinya anaknya buta arah sama tidak tau tempat selain domisili mun 
positive,9 hati sudah jelas bakal didukung sama lawan politik jokowi tujuan utamanya kudeta turunkan jokowi aksi naga 299
positive,anda yang idiot menuduh orang belum kenyataanya sih demi membela seseorang rela pakai data bohong editan amp rekayasa 
negative,jadi presiden kan bera i harus punya kemampuan kecerdasan kepandaian dan wawasan yang lebih dari orang biasa 
negative,maunya 2019 ganti presiden dan kami akan mendukung pilihan rakyat dan ulama semoga pilihannya untuk 2019 prabowo anis matta insya allah 
negative,ngewe wkwk ngewe ngewe 
positive,waaah ibu kamu sih perek gerwani di gangbang babi sipit bagaimana bentuk adikmu nanti ya choong kamu saja sudah hancur hasil dientot kuda bagaimana sama babi sipit ngooaaahahaaa pantas
positive,dasar setan 
negative,evolusi dari cupu keren keren nya kayak es di tengah gurun 
negative,hideyoshi nobunaga ieyashu yang paling banyak diremehkan adalah hideyoshi tapi dia yang bisa membuat burung bisu pun bersuka bernyanyi untuknya dan semoga engkau paham sayang 
negative,4 ini ide unik pe sama sepanjang sejarah indonesia untuk kumpulkan impian masyarakat dari setiap propinsi di indonesia
negative,atas dasar hukum apa 
positive,selamat hari kakak ini untuk seluruh wanita di indonesia dan 2019 ganti presiden
negative,komunis dan liberalis membentuk garis yang melalui ujung barat dan timur bumi bermula dari arah utara menuju selatan be emu di tanah ini tapi kedua duanya hancur tanpa ada yang keluar jadi pemenang sementara banyak mengerikan besar yang jatuh ke dalam pro
negative,new post festival pesona tambora angkat eksotisme alam dan budaya dompu dan bima has been published on paradiso 
negative,hehe malah dari hasil yang pernah saya baca dan dari diskusi sama beberapa teman bukan syiah saja juga liberal dan komunis dan islam dan indonesia sedang dalam himpitan syiah liberal dan komunis dan begitu kalau pendapat banyak orang kalau tidak sal
positive,betul bang nanti kumpulan manusia songong itu mengklaim merasa paling pintar dan hebat buat jaka a gerombolan kampretttt nasi bungkus dan kencing onta 
positive,hoaks adalah ari ari politik pak jokowi kebohongan sama dengan hoaks hoaks adalah kita wkwk
positive,dulu zaman susilo bambang yudhoyono gampang korupsi bisa beli mobil dan tanah
negative,nabi saja dikejar kejar dan dinistakan oleh orang kafir dari dulu sampai sekarang terus kita disuruh menyanjung orang yang jelas 2 memusuhi agama ini akal sehat mana akal sehat 
negative,ibaratnya sekarang gaya hidup dan budaya asli mereka telah hilang dan benar benar kehilangan jati dirinya 
negative,para teroris ingin masuk surga secara instan dengan melakukan bom bunuh diri yang mereka sebut jihad mereka pikir hidup semudah itu 
positive,tidak ada yang menghina siapa apa selain perbuatan seseorang itu sendiri jadi coba lihat sikap bapak yang diktator
negative,film televisi begitu ya judulnya monyet cantik dan majikannya bodor wkwk 
positive,lulusan s1 mereka panggil prof begitu ketua umum pak ai mereka panggil presiden begitu orang tidak bisa mengaji mereka panggil ustad begitu sang pemborong kasus tersangka mereka panggil ulama begitu ini namanya du
negative,harga minyak naik dipicu penguatan wall street wa a ekonomi
negative,untuk kakak
negative,kalau mw buat poros alternatif bisa duet tuan guru bajang agus harimu i yudhoyono atau sebaliknya agus harimu i yudhoyono tuan guru bajang agus harimu i yudhoyono dari militer amp urusan diplomasi luar negeri se a perwakilan indonesia barat tuan guru bajang dari ulama yang berilmu bisa kembangkan ekonomi dan sosial di dan
negative,warga badui setelah selesai memperingati tradisi seba di pendopo pemerintah kabupaten lebak akan dilanjutkan kembali be emu dengan gubernur banten wahidin halim hari ini sabtu 21 4 seba badui 2018
negative,sampai bom 
negative,gubernur anies baswedan be emu dengan menteri dalam negeri kerajaan maroko noureddine boutayeb di rabat 18 april 2018 pe emuan bilateral tersebut membahas banyak hal dan saling berbagi perkembangan ekonomi politik selama 20 tahun terakhir 
positive,jawab nya gampang itu presiden mu dihina cina bangsat kamu kok diam apa sih munafik lagi bisu dan dan 2019 ganti presiden 
negative,mampus dan belum sempat menonton terima kasih kamu 
negative,by the way ini radha bajingan tidak sih wkwk dat semua semuanya wkwk uniform resource locator
positive,dulu manis sopan terus gemas begitu adik material makamya dulu kamu masuk jajaran my top sissy tapi sekarang najis jijik bajaj tidak ada manis manisnya tidak ada gemas gemasnya anjing asuhan terus kerjaannya sudah gue lepeh juga lah dari jajaran adik adik gue mon maaf wkwk 
negative,katanya anti asing dolar minggat harusnya syukuran dong malah mumet ceramah doa toa dan ayat solusi segala macam persoalan sekalipun produktivitas minim tapi tuntutan setinggi langit 
positive,mereka itu keji dan biadab ganyang pak ai komunis indonesia dan paham komunis di negara kesatuan republik indonesia uniform resource locator
positive,pantas saja para kecebong benci sama pak kivlan dan pak prabowo 
negative,iya baru rezim sekarang ya 
positive,dasar kafir laknatullah 
negative,bokep auto no titit siap jadi temannya lulove 
positive,yang bejat kamu tidak bisa mengurus keluarga tidak usah menyalahkan orang dan tolol dipelihara 
positive,prabowo mesti tanggung jawab bangun lagi itu sekolah
negative,din syamsuddin berharap konsep moderat islam bisa menjadi ciri dan identitas umat islam di tingkat nasional masing masing negara maupun di tingkat global muslim pro konferensi tingkat tinggi ulama 2018 konferensi tingkat tinggi islam wasatiyyah indonesia bisa indonesiabe oleransi 
positive,kasihannya orang ini sebentar lagi masuk rumah sakit jiwa bisa bisanya menganggap ahok di cintai rakyat rakyat yang mana cinta mulut jamban buang sampah pada tempatnya andai berani jujur sudah masuk
negative,konferensi tingkat tinggi ulama dan cendekiawan muslim dunia akan terbitkan risalah bogor 
negative,yf siapapun ngewe ayo sebal banget gue 
positive,korban cuci otak mayor jenderal k kunyuk 
negative,tadi saya menonton ant man di garut dan di studio 1 mohon di perbaiki karena dilayarnya itu kayak ada yang cacat setitik begitu tapi itu cukup mengganggu mohon segera di perbaiki layarnya 
negative,umat mending jadi kristen deh kalau akan di klaim umat yang mengikuti pak ai keadilan sejahtera dan rizieq shihab 
positive,tvone televisi favorit kaum fiksi yang dungu 
negative,dua duanya bukan cebong 
negative,kebaca mau nete 
negative,35 kreasi kreatif ke as dan koran bekas lynde sitepu rp70 000 00 buku gpu
negative,habis jogging pagi kebelet ngentot retweet sayang uniform resource locator
positive,miris presiden negara besar ini tak berdaya ter kacung kacung kan 
negative,di negara lain adalah aktivis yang dekat dengan penguasa yang saya tau aktivis itu bekerja untuk kaum te indas kalau dekat dengan rezim kemungkinan adalah aktivis palsu 
negative,dipersilakan untuk melakukannya dan dan setelah dipersilakan barulah ia menghempaskan bokong tepat ke sofa di hadapan sang wira memosisikan diri senyaman
positive,oi warga jangan bawa bocah emak ya oke turunkan jokowi
positive,apa di pusing goblok saja kamu nya mengekspose zionisme keparat itu jangan jangan kamu yang e se berita kayak begini orang gila yang senangnya mengadudombakan orang lain 
negative,analisa yang gegabah hanya mendasarkan hasil survei bisa menyimpulkan rupiah bakal menguat tajam amp foreign inflow akan meningkat tajam in fact di era rejim ini dana asing minus bahkan sudah dana asing di era susilo bambang yudhoyono sudah banyak berkurang 
negative,tidak apa apa asal jangan buta cinta wkwk 
negative,mengajar les di tempat baru anak cc uuuu sok cute tipikal ideal nona pintar banget matematika nya ganteng sipit tinggi dan atletis aku mau punya anak satu kayak begitu ya lord 
negative,kenapa ya orang indonesia ini disuruh te ib susah banget salah satu contohnya adalah te ib untuk tidak naik ke kereta listrik sebelum penumpang yang mau turun selesai semua saking seringnya menemukan orang orang berengsek kayak begitu di stasiun saya sampai kepikiran untuk menyiapkan kata makian 
positive,uniform resource locator ini kerja usul bubarkan dewan perwakilan rakyat kerjanya tidak mewakili rakyat korup melindungi koruptor dan lain lain
positive,ah cuma pencitraan ya pak 
negative,calon calon wakil presiden dari pak ai keadilan sejahtera menurut saya tidak bisa melengkapi kualitas prabowo di pemilihan presiden ataupun saat terpilih menjadi presiden nanti coba duet prabowo rizal ramli insyaallah menang ganti presiden 2019 dapat terwujud
negative,masalahnya indonesia bukan jaka a 
negative,yang langsung ngaceng harap di retweet uniform resource locator
negative,media prima nih sebenarnya sudah miskin sampai terpaksa buat home belanja dengan syarikat korea berita pun lagi teruk dari fake news patut bungkus je dengan drama drama sampah sarap itu 
positive,hari hari makan babi berbentuk wang haram muka pun macam babi perangai lebih babi dari babi dan politikus ronggeng babi 
positive,allahu akbar rakyat bersama front pembela islam bubarkan gerakan masyarakat bawah indonesia copot kepala polisi daerah jawa barat selamatkan ulama gaduh karena ahok
positive,1 gusur ahok 2 lengserkan jokowi
negative,gema satu kata dengan mengadopsi budaya kearifan lokal jambi seni musik kompangan khas jambi 
negative,sudah lihat surabaya belum pak bagusan mana penataannya sama daerah khusus ibu kota kalau mau mencalonkan presiden rapikan dulu jaka a bersihkan dari pukul di badan jalan sama trotoar kalau kemarin lawannya ridwan kamil risma nurdin abdullah juga kalah menang karena ahok kristen jadi gampang menakuti
positive,uhuy kafir kafir terus kalau gue menyebut kafir itu menghina ya haha saking kerdilnya otak kamu kamu ada memaki islam ini itu gue tidak ada memaki agama lain spesifik dasar kaum intoleran sara kamu munafik kafir goblok ganti saja to
negative,pe anyaan kenapa di pilihan kepala daerah jawa timur tidak ada ujaran kebencian di media sosial lihat peta dukungan pak ainya ya 
positive,bukan relawan tetapi tim pemenang anies sandi sih asma dewi penyebar kebencian
negative,gembel amat di indomaret lagian gue tidak mau belanja cuma mau ke atm mas 
